Unnamed: 0,no,gender,age,height,weight,bmi,griffith,sensitivity,preference,environment,tsv,season,date,time,room,ta,hr,va
462,5.0,0.0,23.0,161.0,50.0,19.29,-0.25,2.0,0.0,-1.0,1.0,1,2021/1/09,09:00:00,1,21.77,13.9,0.6
463,5.0,0.0,23.0,161.0,50.0,19.29,-0.25,2.0,0.0,-1.0,0.0,1,2021/1/09,09:30:00,1,19.72,14.8,1.08
464,5.0,0.0,23.0,161.0,50.0,19.29,-0.25,2.0,0.0,-1.0,0.0,1,2021/1/09,10:00:00,1,20.87,15.1,0.6
465,5.0,0.0,23.0,161.0,50.0,19.29,-0.25,2.0,0.0,-1.0,1.0,1,2021/1/09,10:30:00,1,21.81,14.4,0.96
466,5.0,0.0,23.0,161.0,50.0,19.29,-0.25,2.0,0.0,-1.0,1.0,1,2021/1/09,11:00:00,1,24.85,14.4,0.12
467,5.0,0.0,23.0,161.0,50.0,19.29,-0.25,2.0,0.0,-1.0,2.0,1,2021/1/09,11:30:00,1,26.22,14.3,1.08
468,5.0,0.0,23.0,161.0,50.0,19.29,-0.25,2.0,0.0,-1.0,0.0,1,2021/1/09,12:00:00,1,20.29,14.3,0.96
469,5.0,0.0,23.0,161.0,50.0,19.29,-0.25,2.0,0.0,-1.0,1.0,1,2021/1/09,14:30:00,1,22.22,13.5,0.6
470,5.0,0.0,23.0,161.0,50.0,19.29,-0.25,2.0,0.0,-1.0,1.0,1,2021/1/09,15:00:00,1,24.78,14.1,0.6
471,5.0,0.0,23.0,161.0,50.0,19.29,-0.25,2.0,0.0,-1.0,1.0,1,2021/1/09,15:30:00,1,23.14,14.9,0.6
472,5.0,0.0,23.0,161.0,50.0,19.29,-0.25,2.0,0.0,-1.0,1.0,1,2021/1/09,16:00:00,1,22.34,15.5,0.36
473,5.0,0.0,23.0,161.0,50.0,19.29,-0.25,2.0,0.0,-1.0,0.0,1,2021/1/09,16:30:00,1,18.75,15.8,1.08
474,5.0,0.0,23.0,161.0,50.0,19.29,-0.25,2.0,0.0,-1.0,1.0,1,2021/1/09,17:00:00,1,25.59,16.1,0.6
