Unnamed: 0,no,gender,age,height,weight,bmi,griffith,sensitivity,preference,environment,tsv,season,date,time,room,ta,hr,va
588,6.0,1.0,24.0,175.0,68.0,22.2,0.65,0.0,-1.0,1.0,0.0,0,2021/7/22,09:00:00,6,23.7,59.6,0.72
589,6.0,1.0,24.0,175.0,68.0,22.2,0.65,0.0,-1.0,1.0,1.0,0,2021/7/22,09:30:00,6,25.43,59.3,0.6
590,6.0,1.0,24.0,175.0,68.0,22.2,0.65,0.0,-1.0,1.0,0.0,0,2021/7/22,10:00:00,6,19.840000000000003,59.1,1.08
591,6.0,1.0,24.0,175.0,68.0,22.2,0.65,0.0,-1.0,1.0,1.0,0,2021/7/22,10:30:00,6,24.12,59.4,0.24
592,6.0,1.0,24.0,175.0,68.0,22.2,0.65,0.0,-1.0,1.0,1.0,0,2021/7/22,11:00:00,6,24.65,60.4,1.2
593,6.0,1.0,24.0,175.0,68.0,22.2,0.65,0.0,-1.0,1.0,1.0,0,2021/7/22,11:30:00,6,25.66,59.8,1.08
594,6.0,1.0,24.0,175.0,68.0,22.2,0.65,0.0,-1.0,1.0,0.0,0,2021/7/22,12:00:00,6,23.97,59.6,0.6
595,6.0,1.0,24.0,175.0,68.0,22.2,0.65,0.0,-1.0,1.0,0.0,0,2021/7/22,14:30:00,6,22.22,59.0,0.84
596,6.0,1.0,24.0,175.0,68.0,22.2,0.65,0.0,-1.0,1.0,0.0,0,2021/7/22,15:00:00,6,23.12,59.4,0.96
597,6.0,1.0,24.0,175.0,68.0,22.2,0.65,0.0,-1.0,1.0,0.0,0,2021/7/22,15:30:00,6,22.22,59.7,0.96
598,6.0,1.0,24.0,175.0,68.0,22.2,0.65,0.0,-1.0,1.0,0.0,0,2021/7/22,16:00:00,6,22.62,60.6,0.6
599,6.0,1.0,24.0,175.0,68.0,22.2,0.65,0.0,-1.0,1.0,2.0,0,2021/7/22,16:30:00,6,27.77,60.8,0.96
600,6.0,1.0,24.0,175.0,68.0,22.2,0.65,0.0,-1.0,1.0,0.0,0,2021/7/22,17:00:00,6,23.29,60.8,0.12
601,6.0,1.0,24.0,175.0,68.0,22.2,0.65,0.0,-1.0,1.0,2.0,0,2021/7/22,17:30:00,6,28.61,60.8,0.72
1071,11.0,0.0,23.0,160.0,53.0,20.7,0.86,0.0,-1.0,0.0,0.0,0,2021/7/22,09:00:00,4,22.9,59.6,0.36
1072,11.0,0.0,23.0,160.0,53.0,20.7,0.86,0.0,-1.0,0.0,1.0,0,2021/7/22,09:30:00,4,26.08,59.3,0.72
1073,11.0,0.0,23.0,160.0,53.0,20.7,0.86,0.0,-1.0,0.0,0.0,0,2021/7/22,10:00:00,4,19.74,59.1,0.84
